[12/Sep/2020:11:49:52 +0000] 157.49.200.155 nginx to 127.0.0.1:5001 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:52 +0000] 157.49.200.155 nginx to - [GET /static/login.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:59 +0000] 59.94.151.56 nginx to 172.105.63.71:5001 [POST /login HTTP/1.1] request_time 1.274 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:50:04 +0000] 59.94.151.56 nginx to 172.105.63.71:5002 [POST /login HTTP/1.1] request_time 0.152 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:50:05 +0000] 59.94.151.56 nginx to [::1]:5002, [::1]:5000, 127.0.0.1:5002 [GET /session HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:50:05 +0000] 59.94.151.56 nginx to 172.105.63.71:5000 [GET / HTTP/1.1] request_time 0.012 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:50:39 +0000] 47.9.99.217 nginx to [::1]:5001, 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.003 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/71.0.3578.141 Safari/534.24 XiaoMi/MiuiBrowser/11.4.3-g
[12/Sep/2020:11:50:39 +0000] 47.9.99.217 nginx to 127.0.0.1:5001 [GET /login HTTP/1.1] request_time 0.004 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/71.0.3578.141 Safari/534.24 XiaoMi/MiuiBrowser/11.4.3-g
[12/Sep/2020:11:50:39 +0000] 47.9.99.217 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/71.0.3578.141 Safari/534.24 XiaoMi/MiuiBrowser/11.4.3-g
[12/Sep/2020:11:50:39 +0000] 47.9.99.217 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/71.0.3578.141 Safari/534.24 XiaoMi/MiuiBrowser/11.4.3-g
[12/Sep/2020:11:50:42 +0000] 47.9.99.217 nginx to 172.105.63.71:5001 [GET /favicon.ico HTTP/1.1] request_time 0.005 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/71.0.3578.141 Safari/534.24 XiaoMi/MiuiBrowser/11.4.3-g
[12/Sep/2020:11:51:07 +0000] 59.94.151.56 nginx to 172.105.63.71:5002 [POST /check-repo/ HTTP/1.1] request_time 0.686 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:51:07 +0000] 59.94.151.56 nginx to 127.0.0.1:5002 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:51:13 +0000] 157.49.200.155 nginx to 172.105.63.71:5000 [POST /check-repo/ HTTP/1.1] request_time 0.354 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:51:14 +0000] 157.49.200.155 nginx to [::1]:5000, 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
